timestamp,source_ip,dest_ip,dest_port,protocol,method,path,status_code,user_agent,bytes,user_id
2026-04-03T02:00:00+09:00,10.0.0.1,10.0.1.10,80,HTTP,GET,/health,200,kube-probe/1.28,92,-
2026-04-03T02:00:00+09:00,10.0.11.126,10.0.1.10,443,HTTPS,DELETE,/api/projects/3,200,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",15775,emp_0055
2026-04-03T02:00:01+09:00,10.0.31.32,10.0.1.10,443,HTTPS,GET,/api/teams/my,304,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0",19515,emp_0096
2026-04-03T02:00:09+09:00,10.0.22.150,10.0.1.10,443,HTTPS,GET,/api/calendar/events,200,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",24489,emp_0178
2026-04-03T02:00:09+09:00,10.0.13.21,10.0.1.10,443,HTTPS,GET,/api/messages/inbox,304,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",14507,emp_0149
2026-04-03T02:00:15+09:00,10.0.0.1,10.0.1.10,80,HTTP,GET,/ping,200,kube-probe/1.28,83,-
2026-04-03T02:00:19+09:00,10.0.33.234,10.0.1.10,443,HTTPS,GET,/api/projects/list,201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",19575,emp_0042
2026-04-03T02:00:20+09:00,70.43.80.49,10.0.1.10,80,HTTP,GET,/sitemap.xml,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",105435,-
2026-04-03T02:00:20+09:00,10.0.32.198,10.0.1.10,443,HTTPS,GET,/api/teams/1/members,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",15557,emp_0025
2026-04-03T02:00:21+09:00,10.0.10.150,10.0.1.10,443,HTTPS,GET,/api/messages/inbox,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0",6914,emp_0193
